uEst,uVal,yEst,yVal,Ts
3.2567,0.97619,5.205,4.9728,0
3.2466,0.99921,5.2154,4.9722,4
3.2309,1.0172,5.2215,4.9703,8
3.2097,1.0318,5.2142,4.988,12
3.1836,1.0456,5.2001,4.9825,16
3.1531,1.0624,5.2309,4.9685,20
3.1194,1.0861,5.2163,4.9706,24
3.084,1.121,5.2081,4.9355,28
3.0485,1.1704,5.2041,4.9041,32
3.0148,1.2371,5.2178,4.815,36
2.9851,1.3224,5.2074,4.7402,40
2.9612,1.4264,5.1925,4.667,44
2.9449,1.5476,5.1968,4.5742,48
2.9375,1.6834,5.2334,4.4698,52
2.9401,1.8297,5.2074,4.4201,56
2.9528,1.9817,5.2358,4.3481,60
2.9754,2.1343,5.2544,4.2705,64
3.007,2.2822,5.2789,4.1982,68
3.046,2.4203,5.2615,4.1234,72
3.0903,2.5445,5.3027,4.0688,76
3.1373,2.6513,5.3057,4.0255,80
3.1844,2.7388,5.3338,3.9785,84
3.2285,2.8057,5.3384,3.9583,88
3.267,2.8524,5.3582,3.911,92
3.2973,2.88,5.4083,3.9196,96
3.3172,2.8908,5.4302,3.865,100
3.3253,2.8876,5.4607,3.8518,104
3.3208,2.8734,5.4858,3.8354,108
3.3035,2.8517,5.4839,3.8518,112
3.2741,2.8255,5.5303,3.8183,116
3.234,2.798,5.6072,3.8491,120
3.1853,2.7713,5.6323,3.846,124
3.1306,2.7475,5.678,3.8164,128
3.073,2.7278,5.6918,3.8528,132
3.0156,2.7127,5.7415,3.8335,136
2.9615,2.7023,5.7919,3.8332,140
2.9136,2.6959,5.8083,3.8354,144
2.8744,2.6927,5.8318,3.836,148
2.8456,2.691,5.8444,3.8674,152
2.8282,2.6894,5.921,3.8323,156
2.8222,2.6861,5.8975,3.864,160
2.827,2.6792,5.9515,3.8637,164
2.8405,2.6674,5.9539,3.8531,168
2.8604,2.6491,5.9414,3.8808,172
2.8834,2.6235,5.9979,3.8695,176
2.906,2.5902,6,3.8723,180
2.9242,2.5492,5.9976,3.8698,184
2.9345,2.5014,6.0317,3.8732,188
2.9336,2.4481,6.0085,3.8979,192
2.919,2.3911,6.0235,3.8759,196
2.8888,2.333,6.0488,3.9074,200
2.8425,2.2765,6.0537,3.8958,204
2.7805,2.2245,6.0488,3.9074,208
2.7043,2.1798,6.076,3.9098,212
2.6167,2.1451,6.0797,3.8994,216
2.521,2.1225,6.0684,3.9089,220
2.4214,2.1137,6.0537,3.8787,224
2.3222,2.1194,6.0586,3.8705,228
2.2277,2.1397,6.043,3.8924,232
2.1421,2.1737,6.0598,3.8833,236
2.0688,2.2198,6.0757,3.875,240
2.0103,2.2759,6.0671,3.8689,244
1.9679,2.3395,6.054,3.8628,248
1.9422,2.4078,6.0833,3.8927,252
1.9322,2.4781,6.0467,3.886,256
1.9361,2.5478,6.054,3.8695,260
1.9511,2.6149,6.011,3.8808,264
1.974,2.6779,6.0198,3.8454,268
2.0009,2.7355,5.9374,3.8616,272
2.0284,2.7874,5.8636,3.8601,276
2.053,2.8332,5.8032,3.8701,280
2.072,2.8732,5.6854,3.8753,284
2.0833,2.9073,5.606,3.8714,288
2.0858,2.9356,5.5196,3.8808,292
2.0793,2.9579,5.4394,3.8515,296
2.0648,2.9737,5.317,3.8628,300
2.0438,2.9821,5.2737,3.8662,304
2.0185,2.9818,5.1821,3.8622,308
1.9914,2.9716,5.1211,3.8988,312
1.9654,2.9502,5.021,3.9019,316
1.943,2.9169,4.9358,3.9004,320
1.9264,2.8711,4.8623,3.904,324
1.9172,2.8133,4.8251,3.9174,328
1.9162,2.7448,4.7655,3.9019,332
1.9236,2.6681,4.6853,3.9092,336
1.9388,2.5862,4.6276,3.9547,340
1.9603,2.5031,4.5409,3.9409,344
1.9862,2.4233,4.4704,3.9437,348
2.0144,2.3511,4.4363,3.9776,352
2.0424,2.2906,4.3642,3.9864,356
2.068,2.2453,4.312,3.9712,360
2.089,2.2173,4.2535,3.9898,364
2.104,2.2075,4.2412,3.9931,368
2.1119,2.2151,4.1958,3.9596,372
2.1124,2.2378,4.1347,3.9913,376
2.1057,2.2721,4.0938,3.9706,380
2.0928,2.3134,4.0728,3.9956,384
2.075,2.3566,4.0328,3.9883,388
2.0543,2.3966,3.9934,3.969,392
2.0326,2.4288,3.933,3.9696,396
2.0119,2.4501,3.9077,3.9648,400
1.9945,2.4585,3.8543,3.9666,404
1.9821,2.454,3.8305,3.9699,408
1.9764,2.4387,3.8064,3.9861,412
1.9786,2.4162,3.7725,3.9721,416
1.9896,2.3919,3.7188,3.9648,420
2.01,2.3718,3.6843,3.9651,424
2.0402,2.3628,3.6251,3.9568,428
2.0802,2.371,3.6202,3.9663,432
2.1299,2.4018,3.5598,3.9672,436
2.1891,2.4592,3.5561,3.9385,440
2.2577,2.5448,3.4978,3.9706,444
2.3353,2.6585,3.4853,3.933,448
2.4217,2.7977,3.467,3.9568,452
2.5167,2.9579,3.4307,3.9474,456
2.6197,3.1329,3.3898,3.9251,460
2.7305,3.3158,3.3819,3.9626,464
2.8484,3.4991,3.3574,3.9498,468
2.9728,3.6759,3.3568,3.933,472
3.1028,3.8402,3.3437,3.9715,476
3.2373,3.9878,3.3617,3.9382,480
3.3754,4.1162,3.3788,3.9788,484
3.5159,4.2249,3.3526,3.98,488
3.6577,4.3154,3.3788,3.9641,492
3.7999,4.391,3.3928,4.0078,496
3.9418,4.4558,3.3822,4.0136,500
4.0829,4.5147,3.3938,4.0404,504
4.2233,4.5723,3.4319,4.0835,508
4.3631,4.6324,3.4307,4.1082,512
4.503,4.6978,3.4548,4.1299,516
4.6437,4.7695,3.4948,4.1427,520
4.786,4.8467,3.4942,4.1888,524
4.9307,4.9271,3.5454,4.2065,528
5.0783,5.0068,3.5491,4.2864,532
5.2289,5.0811,3.5891,4.4161,536
5.3818,5.1447,3.6785,4.5632,540
5.5359,5.1926,3.7542,4.9242,544
5.6891,5.2205,3.8045,5.3851,548
5.8387,5.2256,3.9318,5.91,552
5.9813,5.2063,4.0624,6.4178,556
6.113,5.1629,4.3795,6.8106,560
6.2296,5.0977,4.9627,7.0599,564
6.3271,5.014,5.5569,7.3883,568
6.4017,4.9163,6.2564,7.6602,572
6.4505,4.8097,6.9067,8.0313,576
6.4712,4.699,7.3672,8.396,580
6.4628,4.5888,7.7166,8.7576,584
6.4255,4.4821,8.3511,9.0692,588
6.3607,4.3808,8.959,9.313,592
6.271,4.2853,9.6655,9.5889,596
6.1599,4.1944,10,9.7552,600
6.0318,4.1055,10,9.9921,604
5.8913,4.0154,10,10,608
5.743,3.9202,10,10,612
5.5911,3.8164,10,10,616
5.4394,3.7009,10,10,620
5.2905,3.5717,10,10,624
5.146,3.4282,10,10,628
5.0066,3.2711,10,10,632
4.8716,3.1026,10,10,636
4.7396,2.926,10,10,640
4.6088,2.7453,10,10,644
4.4767,2.5652,10,10,648
4.341,2.39,10,10,652
4.1998,2.2234,10,10,656
4.0516,2.0684,10,9.9942,660
3.8959,1.9268,10,9.9625,664
3.7328,1.7992,10,9.8898,668
3.5636,1.6851,10,9.8648,672
3.39,1.5829,10,9.758,676
3.2145,1.4908,10,9.7037,680
3.04,1.4066,10,9.6094,684
2.8694,1.3285,10,9.5669,688
2.7053,1.2552,10,9.4424,692
2.5502,1.1863,10,9.3384,696
2.4059,1.1222,10,9.1821,700
2.2737,1.0645,10,9.0655,704
2.1542,1.0153,9.9954,8.8995,708
2.0478,0.97722,9.9408,8.7271,712
1.9544,0.95291,9.9066,8.5742,716
1.8739,0.94459,9.8502,8.3566,720
1.8063,0.95364,9.7455,8.1534,724
1.7519,0.98038,9.7043,8.0157,728
1.7115,1.0238,9.6115,7.8091,732
1.6861,1.0816,9.5257,7.6236,736
1.6772,1.1503,9.4208,7.4557,740
1.6867,1.2256,9.3155,7.2747,744
1.7161,1.3029,9.2187,7.1109,748
1.7669,1.3774,9.0619,6.9647,752
1.8398,1.4454,8.9621,6.7837,756
1.9346,1.5039,8.797,6.5951,760
2.0502,1.5518,8.6688,6.3574,764
2.184,1.5894,8.5928,6.1544,768
2.3323,1.6188,8.4344,5.9072,772
2.4905,1.6435,8.3145,5.6313,776
2.6531,1.6684,8.1714,5.0045,780
2.8143,1.6986,8.0557,4.8165,784
2.9684,1.7393,7.9556,4.6355,788
3.1104,1.7951,7.8531,4.4961,792
3.2363,1.8692,7.7319,4.374,796
3.3437,1.9629,7.6739,4.2824,800
3.4317,2.0759,7.5918,4.1918,804
3.5013,2.2054,7.4795,4.103,808
3.5554,2.3469,7.4212,4.0035,812
3.5979,2.4943,7.3648,3.9397,816
3.6338,2.6407,7.3242,3.8854,820
3.6686,2.7788,7.315,3.8116,824
3.7072,2.9018,7.2647,3.7758,828
3.7539,3.0041,7.2134,3.7173,832
3.8115,3.0817,7.2335,3.684,836
3.8808,3.1329,7.1963,3.6306,840
3.9607,3.158,7.1698,3.6049,844
4.0483,3.1598,7.1881,3.6056,848
4.1385,3.1426,7.189,3.5866,852
4.2252,3.1123,7.1829,3.6059,856
4.3017,3.0752,7.1386,3.5961,860
4.3612,3.0376,7.1792,3.6208,864
4.3978,3.0051,7.1856,3.5937,868
4.4069,2.9817,7.1865,3.6016,872
4.3864,2.9695,7.193,3.6407,876
4.3361,2.9687,7.2186,3.6431,880
4.2588,2.9771,7.2137,3.6513,884
4.1593,2.9908,7.2531,3.6669,888
4.0446,3.0046,7.2918,3.6843,892
3.923,3.0123,7.2979,3.6788,896
3.8032,3.0079,7.3993,3.6898,900
3.6938,2.986,7.5079,3.7017,904
3.6021,2.9427,7.5918,3.7118,908
3.5335,2.8758,7.6739,3.7285,912
3.4911,2.7855,7.7154,3.735,916
3.475,2.6742,7.8604,3.7694,920
3.4828,2.5463,7.9168,3.7874,924
3.5093,2.4082,7.959,3.7935,928
3.5476,2.267,8.0584,3.7939,932
3.5894,2.1307,8.1097,3.8158,936
3.626,2.0067,8.2153,3.8296,940
3.6492,1.9014,8.3023,3.8207,944
3.6521,1.8196,8.3999,3.8482,948
3.6299,1.764,8.5415,3.8653,952
3.5804,1.735,8.6163,3.8524,956
3.504,1.731,8.6914,3.8695,960
3.404,1.7481,8.7808,3.8683,964
3.2858,1.781,8.7836,3.8573,968
3.1569,1.8233,8.8211,3.8436,972
3.0256,1.8685,8.8528,3.8454,976
2.9006,1.9102,8.8248,3.8259,980
2.7898,1.9432,8.8531,3.8051,984
2.6998,1.9636,8.869,3.792,988
2.6354,1.9693,8.8965,3.81,992
2.5989,1.9602,8.9078,3.7942,996
2.5903,1.9379,8.8833,3.7835,1000
2.6073,1.9055,8.8739,3.7414,1004
2.6456,1.8673,8.9078,3.72,1008
2.6996,1.8282,8.8666,3.7157,1012
2.7629,1.7933,8.9029,3.6822,1016
2.8292,1.7671,8.8589,3.6669,1020
2.8927,1.7533,8.8498,3.6635,1024
2.9485,1.7545,8.8354,3.6184,1028
2.9934,1.7719,8.7689,3.5824,1032
3.0259,1.8051,8.793,3.5811,1036
3.0457,1.8528,8.7588,3.5515,1040
3.0542,1.9123,8.7005,3.4905,1044
3.0537,1.9805,8.6835,3.4746,1048
3.0468,2.054,8.6615,3.4289,1052
3.0366,2.1291,8.5962,3.3953,1056
3.0254,2.2029,8.5953,3.3519,1060
3.0149,2.2731,8.5415,3.3263,1064
3.006,2.338,8.4952,3.3159,1068
2.9985,2.3969,8.5077,3.2741,1072
2.9913,2.4497,8.4561,3.2558,1076
2.9829,2.4971,8.439,3.239,1080
2.9712,2.5402,8.3789,3.2421,1084
2.9545,2.58,8.3862,3.2284,1088
2.9315,2.6175,8.3105,3.1957,1092
2.9017,2.6536,8.3291,3.2241,1096
2.8657,2.6885,8.2974,3.2308,1100
2.8249,2.7219,8.2611,3.232,1104
2.7819,2.7532,8.1973,3.2317,1108
2.7401,2.7813,8.1851,3.2305,1112
2.7029,2.8049,8.1219,3.2177,1116
2.674,2.8226,8.1241,3.2375,1120
2.6562,2.8333,8.063,3.2464,1124
2.6517,2.8364,8.063,3.2567,1128
2.6613,2.8318,7.9974,3.2787,1132
2.6843,2.8198,7.9883,3.315,1136
2.7189,2.8017,7.9156,3.3205,1140
2.7618,2.7792,7.9214,3.3217,1144
2.8089,2.7544,7.8827,3.3687,1148
2.8556,2.7297,7.8494,3.3495,1152
2.8974,2.7074,7.7911,3.3983,1156
2.9303,2.6897,7.7603,3.3931,1160
2.9514,2.6781,7.6895,3.4075,1164
2.9591,2.6736,7.6562,3.4276,1168
2.9534,2.6762,7.6464,3.4447,1172
2.9356,2.6853,7.6419,3.4789,1176
2.9087,2.6994,7.6065,3.478,1180
2.8767,2.7165,7.5796,3.482,1184
2.8441,2.7339,7.5116,3.5073,1188
2.8153,2.749,7.5262,3.5369,1192
2.7946,2.7592,7.4807,3.5235,1196
2.785,2.7621,7.4209,3.5702,1200
2.7885,2.756,7.4203,3.5488,1204
2.8053,2.7401,7.388,3.5662,1208
2.8342,2.7143,7.3785,3.6147,1212
2.8727,2.6794,7.3089,3.6226,1216
2.917,2.6374,7.3208,3.658,1220
2.9628,2.5906,7.3062,3.6428,1224
3.0059,2.5422,7.2378,3.6892,1228
3.0423,2.4954,7.2168,3.6742,1232
3.0689,2.4538,7.1991,3.687,1236
3.0841,2.4205,7.1655,3.7395,1240
3.0874,2.3983,7.1572,3.7578,1244
3.0801,2.3891,7.1783,3.753,1248
3.0646,2.3944,7.1502,3.7505,1252
3.0443,2.4145,7.1075,3.7704,1256
3.0232,2.4488,7.1289,3.8076,1260
3.0052,2.496,7.1185,3.8036,1264
2.9938,2.5542,7.0916,3.7856,1268
2.9914,2.6209,7.0489,3.7966,1272
2.9991,2.6932,7.0733,3.8027,1276
3.0166,2.7683,7.0507,3.8216,1280
3.042,2.8435,7.0575,3.8064,1284
3.0718,2.9163,7.0089,3.8399,1288
3.1019,2.9849,7.033,3.8488,1292
3.1274,3.0478,6.9818,3.8515,1296
3.1434,3.1044,7.0095,3.8686,1300
3.1455,3.1544,6.9702,3.8814,1304
3.1303,3.1983,6.9744,3.8677,1308
3.0959,3.2366,7.0059,3.882,1312
3.042,3.2705,7.0034,3.8885,1316
2.9696,3.301,6.9683,3.937,1320
2.8817,3.3292,6.9549,3.9165,1324
2.7822,3.356,6.9622,3.94,1328
2.6759,3.3819,6.9839,3.9715,1332
2.5678,3.4073,6.9815,3.9849,1336
2.4628,3.4319,6.979,3.9928,1340
2.365,3.4554,6.9644,4.0191,1344
2.2774,3.4771,6.9726,4.0682,1348
2.2016,3.4961,6.9207,4.0945,1352
2.1379,3.5115,6.9546,4.1094,1356
2.0851,3.5227,6.8994,4.121,1360
2.0409,3.5291,6.896,4.1558,1364
2.0022,3.5308,6.8426,4.175,1368
1.9657,3.5278,6.8048,4.1836,1372
1.9277,3.521,6.7727,4.2422,1376
1.8856,3.5115,6.7526,4.2446,1380
1.8372,3.5007,6.69,4.2895,1384
1.7815,3.4902,6.6763,4.3789,1388
1.7187,3.4818,6.6201,4.3877,1392
1.65,3.4769,6.5545,4.5046,1396
1.5777,3.4768,6.4663,4.562,1400
1.5047,3.4825,6.397,4.6255,1404
1.4342,3.4941,6.2893,4.695,1408
1.3694,3.5114,6.2075,4.7793,1412
1.3132,3.5337,6.0888,4.8855,1416
1.268,3.5596,5.949,4.9734,1420
1.2353,3.5874,5.8526,5.0259,1424
1.216,3.6153,5.6716,5.1461,1428
1.2099,3.6413,5.5364,5.1733,1432
1.2166,3.6637,4.9975,5.2911,1436
1.235,3.6813,4.8727,5.3481,1440
1.264,3.6932,4.7405,5.4229,1444
1.3025,3.6992,4.6307,5.534,1448
1.3497,3.6999,4.4973,5.6744,1452
1.4051,3.6962,4.4067,5.7452,1456
1.4687,3.6899,4.2733,5.8328,1460
1.5411,3.6828,4.2174,5.9161,1464
1.6228,3.677,4.1265,6.0613,1468
1.7145,3.6745,4.0456,6.1517,1472
1.8168,3.6769,3.9297,6.2271,1476
1.9298,3.6855,3.85,6.347,1480
2.053,3.7006,3.771,6.4154,1484
2.1851,3.7221,3.7078,6.5579,1488
2.3242,3.749,3.6223,6.6299,1492
2.4677,3.7798,3.5546,6.7169,1496
2.6123,3.8122,3.5293,6.7825,1500
2.7548,3.8441,3.4881,6.8814,1504
2.8916,3.8729,3.4136,7.0043,1508
3.02,3.8964,3.3892,7.1426,1512
3.1376,3.913,3.3587,7.2598,1516
3.2431,3.9214,3.3599,7.4502,1520
3.3361,3.9214,3.3611,7.5488,1524
3.4176,3.9134,3.3568,7.7493,1528
3.4893,3.8984,3.3602,7.94,1532
3.5538,3.8784,3.3724,8.0459,1536
3.6142,3.8553,3.3925,8.1973,1540
3.6735,3.8316,3.3767,8.3917,1544
3.7345,3.8093,3.4179,8.5034,1548
3.7993,3.7903,3.4463,8.6081,1552
3.8689,3.7756,3.4615,8.7527,1556
3.9432,3.7655,3.4853,8.8714,1560
4.0209,3.7595,3.4966,8.9212,1564
4.0992,3.7561,3.5427,9.0228,1568
4.1747,3.7531,3.5457,9.1189,1572
4.2432,3.7475,3.5708,9.2401,1576
4.3004,3.7362,3.5918,9.3188,1580
4.3421,3.716,3.6571,9.396,1584
4.3648,3.6838,3.6947,9.4409,1588
4.3662,3.6374,3.763,9.5377,1592
4.3453,3.575,3.8399,9.5645,1596
4.3023,3.4962,3.9214,9.6359,1600
4.2393,3.4015,3.9528,9.6381,1604
4.1592,3.2925,4.0151,9.6841,1608
4.0663,3.1718,4.0783,9.6799,1612
3.9651,3.0429,4.099,9.668,1616
3.8605,2.9098,4.1707,9.6817,1620
3.7569,2.7767,4.2394,9.6967,1624
3.658,2.6479,4.3331,9.6841,1628
3.5661,2.5274,4.4363,9.7012,1632
3.4825,2.4184,4.5898,9.6878,1636
3.4067,2.3236,4.7314,9.628,1640
3.3373,2.2448,4.8684,9.5938,1644
3.2713,2.1827,4.9761,9.566,1648
3.2053,2.1374,5.1876,9.4879,1652
3.1352,2.1081,5.2374,9.4601,1656
3.0573,2.0936,5.2969,9.4205,1660
2.9683,2.0919,5.4394,9.3179,1664
2.8661,2.1011,5.5483,9.2554,1668
2.7495,2.1192,5.6533,9.1992,1672
2.6192,2.1443,5.7339,9.1031,1676
2.4771,2.1745,5.8273,9.0689,1680
2.3266,2.2084,5.91,8.9468,1684
2.1722,2.2447,5.9512,8.8641,1688
2.0192,2.2824,6.0076,8.8128,1692
1.8733,2.3208,6.058,8.7179,1696
1.74,2.3592,6.098,8.598,1700
1.6242,2.3969,6.1602,8.4906,1704
1.5299,2.4332,6.166,8.439,1708
1.4598,2.4675,6.2094,8.3514,1712
1.4152,2.499,6.2237,8.2373,1716
1.3957,2.527,6.1889,8.117,1720
1.3998,2.5507,6.1968,8.0548,1724
1.4244,2.5696,6.22,7.9641,1728
1.4658,2.5833,6.1938,7.9059,1732
1.5194,2.5916,6.1801,7.8054,1736
1.5807,2.5948,6.1401,7.753,1740
1.6454,2.5933,6.1273,7.6629,1744
1.7098,2.5881,6.0235,7.5662,1748
1.7709,2.5804,5.9014,7.5463,1752
1.8273,2.5714,5.7641,7.4316,1756
1.8781,2.5627,5.6292,7.4163,1760
1.9242,2.5554,5.5291,7.337,1764
1.9671,2.5507,5.3945,7.2943,1768
2.009,2.5493,5.2822,7.1987,1772
2.0529,2.5514,5.2123,7.1365,1776
2.1015,2.5568,5.1186,7.1188,1780
2.1574,2.5645,4.9895,7.0367,1784
2.2227,2.5732,4.9078,6.9625,1788
2.2983,2.5812,4.8318,6.9277,1792
2.3842,2.5865,4.7622,6.8844,1796
2.4794,2.5869,4.6856,6.7938,1800
2.5815,2.5806,4.6548,6.7446,1804
2.6873,2.5658,4.5916,6.73,1808
2.7926,2.5415,4.5263,6.6693,1812
2.893,2.507,4.5101,6.6079,1816
2.9839,2.4626,4.4381,6.5594,1820
3.0609,2.4091,4.4189,6.4834,1824
3.1205,2.348,4.414,6.3992,1828
3.1599,2.2814,4.3673,6.3497,1832
3.1778,2.2117,4.3511,6.3354,1836
3.174,2.1413,4.3642,6.2588,1840
3.1498,2.0728,4.3255,6.2063,1844
3.1076,2.0084,4.3377,6.1065,1848
3.0509,1.9496,4.3209,6.0394,1852
2.9838,1.8974,4.3441,6.0027,1856
2.9107,1.8522,4.3413,5.8929,1860
2.836,1.8135,4.3182,5.805,1864
2.7633,1.7801,4.345,5.7119,1868
2.6956,1.7504,4.3374,5.6185,1872
2.6347,1.7224,4.3471,5.5496,1876
2.581,1.694,4.313,5.0567,1880
2.5337,1.6635,4.3462,4.9819,1884
2.491,1.6293,4.3383,4.9014,1888
2.45,1.5907,4.3227,4.8217,1892
2.4074,1.5478,4.3401,4.7304,1896
2.3597,1.5016,4.3163,4.6893,1900
2.304,1.4541,4.3267,4.6111,1904
2.2379,1.4081,4.3471,4.5095,1908
2.1603,1.367,4.3282,4.45,1912
2.0713,1.3349,4.3374,4.3792,1916
1.9727,1.3157,4.3194,4.2901,1920
1.8676,1.3133,4.334,4.2272,1924
1.7601,1.3309,4.323,4.1674,1928
1.6553,1.3709,4.3032,4.1088,1932
1.5588,1.4345,4.2986,4.0111,1936
1.4758,1.5217,4.247,3.9376,1940
1.4108,1.6311,4.2425,3.8543,1944
1.3675,1.7601,4.1894,3.8054,1948
1.3475,1.9046,4.164,3.7264,1952
1.3513,2.0601,4.1479,3.6733,1956
1.3771,2.2211,4.0819,3.5882,1960
1.4216,2.3823,4.0697,3.5308,1964
1.4803,2.5383,4.0209,3.4618,1968
1.5474,2.6845,3.9797,3.4438,1972
1.6171,2.8172,3.9199,3.3715,1976
1.6834,2.934,3.8695,3.3764,1980
1.7414,3.0336,3.8164,3.3254,1984
1.7873,3.1163,3.7566,3.3349,1988
1.8188,3.1836,3.709,3.3272,1992
1.8356,3.238,3.6522,3.3257,1996
1.8389,3.2829,3.5787,3.3147,2000
1.8316,3.3219,3.5344,3.3111,2004
1.818,3.3589,3.4878,3.3291,2008
1.8029,3.3974,3.4401,3.3294,2012
1.7914,3.4399,3.3901,3.3532,2016
1.7881,3.4885,3.3523,3.3886,2020
1.7969,3.5438,3.2952,3.3904,2024
1.82,3.6053,3.2354,3.4374,2028
1.8584,3.6718,3.1951,3.4746,2032
1.9114,3.7407,3.1594,3.4722,2036
1.9765,3.8093,3.117,3.4978,2040
2.0501,3.8743,3.0736,3.5708,2044
2.128,3.9326,3.0346,3.6062,2048
2.2052,3.9813,3.0043,3.6342,2052
2.2773,4.0185,2.979,3.6837,2056
2.3404,4.0429,2.9754,3.7426,2060
