uEst,uVal,yEst,yVal,Ts
2.3917,4.0542,2.936,3.8003,2064
2.4299,4.0533,2.9256,3.8808,2068
2.455,4.0418,2.9149,3.9284,2072
2.4685,4.0219,2.9189,3.9516,2076
2.4728,3.9962,2.9409,3.9879,2080
2.4711,3.9676,2.9116,4.0475,2084
2.4669,3.9385,2.9397,4.121,2088
2.4634,3.9108,2.9174,4.1659,2092
2.463,3.8859,2.9366,4.1973,2096
2.4672,3.864,2.9552,4.2376,2100
2.476,3.8448,2.9464,4.2641,2104
2.4881,3.8268,2.9406,4.3398,2108
2.5012,3.808,2.9714,4.4411,2112
2.5116,3.7861,2.9564,4.5522,2116
2.5157,3.7586,2.9848,4.6828,2120
2.5096,3.7231,2.9949,4.7768,2124
2.4899,3.6779,3.0101,4.9062,2128
2.4544,3.6219,2.9857,5.0381,2132
2.4023,3.555,2.9952,5.1675,2136
2.3343,3.4778,3.0062,5.3085,2140
2.2531,3.3922,3.0181,5.3564,2144
2.1625,3.3008,3.0575,5.5044,2148
2.068,3.2067,3.0706,5.6783,2152
1.9753,3.1134,3.0605,5.7565,2156
1.8906,3.0243,3.08,5.9072,2160
1.8197,2.9428,3.0742,5.9658,2164
1.7673,2.8715,3.095,6.1212,2168
1.7364,2.8123,3.0867,6.228,2172
1.7288,2.7662,3.0886,6.3348,2176
1.7439,2.7331,3.0892,6.4105,2180
1.7797,2.7122,3.0596,6.4886,2184
1.8325,2.7018,3.0776,6.5313,2188
1.8975,2.6995,3.0724,6.5985,2192
1.9696,2.7028,3.0596,6.6937,2196
2.0436,2.7088,3.0687,6.6864,2200
2.1149,2.7149,3.0773,6.752,2204
2.18,2.7187,3.0632,6.7529,2208
2.2369,2.7185,3.0416,6.7675,2212
2.2851,2.713,3.0544,6.7886,2216
2.3256,2.7018,3.0547,6.8478,2220
2.361,2.6848,3.0556,6.8389,2224
2.3945,2.6628,3.0425,6.8539,2228
2.43,2.6367,3.0477,6.8789,2232
2.4712,2.608,3.0166,6.8743,2236
2.5214,2.5781,3.0565,6.8499,2240
2.5827,2.5487,3.0224,6.856,2244
2.6558,2.5213,3.0605,6.8685,2248
2.7398,2.497,3.0587,6.8936,2252
2.8326,2.4771,3.0501,6.8731,2256
2.9302,2.4625,3.0474,6.8838,2260
3.0281,2.4536,3.0434,6.9012,2264
3.121,2.451,3.08,6.8707,2268
3.2035,2.4547,3.0593,6.9033,2272
3.2708,2.4646,3.1127,6.8646,2276
3.3189,2.4803,3.1304,6.8643,2280
3.3451,2.5013,3.1185,6.8743,2284
3.3482,2.5266,3.1661,6.8261,2288
3.3286,2.5553,3.1987,6.8023,2292
3.2879,2.5858,3.2186,6.7828,2296
3.2291,2.6166,3.2107,6.7984,2300
3.1561,2.646,3.2427,6.7474,2304
3.0732,2.6721,3.2961,6.7379,2308
2.9846,2.6932,3.2912,6.7446,2312
2.8945,2.7076,3.3425,6.6723,2316
2.8062,2.7141,3.3632,6.687,2320
2.7222,2.7119,3.3584,6.6326,2324
2.6444,2.7008,3.4166,6.621,2328
2.5733,2.6814,3.4127,6.5844,2332
2.5091,2.6547,3.4517,6.5664,2336
2.4511,2.6227,3.4951,6.5481,2340
2.3986,2.5877,3.4853,6.5347,2344
2.3503,2.5524,3.5393,6.502,2348
2.3056,2.5199,3.5677,6.4703,2352
2.2638,2.4929,3.5869,6.4666,2356
2.2246,2.4739,3.5915,6.4401,2360
2.188,2.4646,3.6312,6.4004,2364
2.1545,2.466,3.6223,6.3351,2368
2.1244,2.4784,3.6342,6.3183,2372
2.0982,2.5009,3.6761,6.3055,2376
2.0762,2.5319,3.6538,6.2719,2380
2.0584,2.5689,3.6562,6.2222,2384
2.0446,2.6093,3.6574,6.152,2388
2.0341,2.6498,3.6843,6.1309,2392
2.0261,2.6879,3.6742,6.087,2396
2.0196,2.721,3.6889,6.0644,2400
2.0136,2.7473,3.6895,6.0443,2404
2.0074,2.7661,3.6858,6.0122,2408
2.0007,2.7774,3.6541,5.9365,2412
1.9935,2.782,3.6715,5.9429,2416
1.9867,2.7817,3.658,5.873,2420
1.9815,2.7786,3.6474,5.8291,2424
1.9796,2.7751,3.6785,5.8267,2428
1.9829,2.7735,3.6751,5.783,2432
1.9935,2.7759,3.6675,5.7556,2436
2.013,2.7835,3.6565,5.6899,2440
2.0426,2.7969,3.6333,5.7006,2444
2.0827,2.816,3.626,5.6695,2448
2.1331,2.8398,3.6422,5.6225,2452
2.1923,2.8666,3.6037,5.5926,2456
2.2583,2.8945,3.5991,5.2511,2460
2.3283,2.9215,3.615,5.1958,2464
2.3991,2.9461,3.5741,5.1897,2468
2.4675,2.967,3.5927,5.1739,2472
2.5306,2.9839,3.5845,5.1391,2476
2.5859,2.9975,3.5766,5.129,2480
2.6319,3.0093,3.5384,5.1406,2484
2.6681,3.0215,3.5619,5.1315,2488
2.6951,3.0371,3.5286,5.1394,2492
2.7143,3.0589,3.5259,5.1394,2496
2.7279,3.09,3.5271,5.1028,2500
2.7388,3.1324,3.5598,5.1186,2504
2.7497,3.1875,3.5616,5.1095,2508
2.7633,3.2551,3.5323,5.097,2512
2.7815,3.334,3.5576,5.1421,2516
2.8055,3.4214,3.5546,5.104,2520
2.8352,3.5135,3.5329,5.1363,2524
2.8697,3.6053,3.5674,5.1312,2528
2.907,3.6919,3.55,5.1043,2532
2.9443,3.768,3.5525,5.1324,2536
2.9786,3.8291,3.579,5.1391,2540
3.0068,3.8718,3.5903,5.1547,2544
3.0261,3.8941,3.5976,5.1659,2548
3.0346,3.8956,3.5894,5.191,2552
3.0315,3.8776,3.5818,5.2004,2556
3.0172,3.8431,3.5891,5.2984,2560
2.9932,3.7963,3.6016,5.3637,2564
2.9624,3.7421,3.6211,5.3973,2568
2.9282,3.6858,3.6431,5.4559,2572
2.8949,3.6322,3.6529,5.5825,2576
2.8664,3.5856,3.6397,5.6191,2580
2.8465,3.5487,3.6703,5.7086,2584
2.8381,3.5227,3.6587,5.8074,2588
2.8431,3.5072,3.6818,5.9222,2592
2.8619,3.4998,3.677,5.9741,2596
2.8936,3.4971,3.6806,6.0952,2600
2.9362,3.4946,3.7166,6.1593,2604
2.9866,3.4872,3.7664,6.2686,2608
3.0412,3.47,3.7905,6.3076,2612
3.096,3.4385,3.8079,6.4224,2616
3.1473,3.3895,3.8427,6.5112,2620
3.1922,3.3212,3.8311,6.5664,2624
3.2284,3.2331,3.8793,6.6494,2628
3.2548,3.1264,3.8857,6.6879,2632
3.2715,3.0037,3.9809,6.7324,2636
3.2795,2.8683,3.9965,6.7498,2640
3.2806,2.7245,4.0395,6.8011,2644
3.2772,2.5764,4.0499,6.8304,2648
3.2717,2.4279,4.0945,6.8972,2652
3.2663,2.2822,4.1033,6.9253,2656
3.2626,2.1415,4.1573,6.9433,2660
3.2617,2.0071,4.1802,6.9555,2664
3.2636,1.8795,4.2229,6.9406,2668
3.2677,1.7584,4.2348,6.9628,2672
3.2727,1.6431,4.3212,6.9622,2676
3.2769,1.533,4.3755,6.9424,2680
3.2786,1.4281,4.4295,6.9314,2684
3.2763,1.329,4.4768,6.9485,2688
3.2693,1.2372,4.5498,6.9302,2692
3.2574,1.1556,4.6291,6.9009,2696
3.2415,1.0877,4.6944,6.9024,2700
3.2231,1.0378,4.7338,6.8255,2704
3.2046,1.0102,4.8437,6.7742,2708
3.1885,1.0092,4.8809,6.7382,2712
3.1773,1.038,4.9306,6.6772,2716
3.1731,1.0987,5.0161,6.5692,2720
3.1771,1.1913,5.0723,6.4764,2724
3.1895,1.3143,5.1394,6.3784,2728
3.209,1.4637,5.1846,6.2271,2732
3.2328,1.6343,5.2569,6.0943,2736
3.2573,1.8193,5.3118,5.9615,2740
3.2777,2.0111,5.3838,5.8196,2744
3.2891,2.2023,5.4318,5.6561,2748
3.2865,2.3863,5.5206,5.1049,2752
3.2658,2.5577,5.5541,4.9603,2756
3.2241,2.7135,5.6243,4.854,2760
3.1603,2.8526,5.6902,4.7549,2764
3.0753,2.9769,5.7659,4.663,2768
2.972,3.0901,5.8218,4.598,2772
2.855,3.1982,5.8706,4.5501,2776
2.7306,3.3079,5.9365,4.5144,2780
2.606,3.4267,5.9609,4.4561,2784
2.4884,3.5613,6.0146,4.4561,2788
2.3848,3.7172,6.0366,4.4375,2792
2.3008,3.8977,6.1001,4.4033,2796
2.2402,4.1038,6.0919,4.4143,2800
2.2048,4.3333,6.1489,4.4036,2804
2.1938,4.5815,6.1254,4.4262,2808
2.2041,4.8415,6.1782,4.4179,2812
2.2309,5.1043,6.1523,4.4335,2816
2.2675,5.3602,6.1798,4.4189,2820
2.3069,5.5996,6.192,4.4417,2824
2.342,5.8137,6.1877,4.4561,2828
2.3665,5.9955,6.166,4.4656,2832
2.3757,6.1403,6.1724,4.5025,2836
2.367,6.2462,6.184,4.5422,2840
2.34,6.3139,6.1523,4.6938,2844
2.2969,6.3467,6.181,5.2602,2848
2.2419,6.35,6.1807,5.8514,2852
2.1811,6.33,6.1611,6.5374,2856
2.1215,6.2938,6.148,7.0141,2860
2.0702,6.2476,6.0806,7.4054,2864
2.0339,6.1966,6.0671,7.9351,2868
2.0178,6.1441,5.9936,8.4366,2872
2.0253,6.091,5.8984,8.9984,2876
2.0573,6.0362,5.8282,9.5279,2880
2.1122,5.9763,5.7803,9.9576,2884
2.186,5.9068,5.667,10,2888
2.2724,5.8221,5.6249,10,2892
2.3641,5.7168,5.5416,10,2896
2.4526,5.5861,5.4247,10,2900
2.5299,5.4274,5.368,10,2904
2.5887,5.2398,5.2825,10,2908
2.6232,5.0252,5.249,10,2912
2.6299,4.7881,5.1775,10,2916
2.6076,4.5351,5.1104,10,2920
2.5577,4.2748,5.0954,10,2924
2.4839,4.0165,5.014,10,2928
2.3918,3.7699,4.9917,10,2932
2.2882,3.5436,4.9538,10,2936
2.1805,3.3447,4.9087,10,2940
2.0763,3.178,4.8559,10,2944
1.9821,3.0455,4.7967,10,2948
1.9032,2.9467,4.7573,10,2952
1.8431,2.8783,4.7137,10,2956
1.8033,2.8348,4.6624,10,2960
1.7833,2.8098,4.6416,10,2964
1.781,2.7959,4.5623,10,2968
1.7925,2.7863,4.5269,10,2972
1.8133,2.7753,4.479,10,2976
1.8382,2.7593,4.4244,10,2980
1.8624,2.7367,4.3999,9.9628,2984
1.8813,2.7083,4.3523,9.9307,2988
1.8917,2.6772,4.2715,9.8587,2992
1.8913,2.6482,4.247,9.7696,2996
1.8793,2.6273,4.1933,9.7626,3000
1.8561,2.6205,4.1558,9.7015,3004
1.8235,2.6335,4.1277,9.6219,3008
1.784,2.6703,4.0764,9.5889,3012
1.7408,2.7332,4.0114,9.5117,3016
1.6972,2.8216,3.9654,9.4525,3020
1.6567,2.9326,3.9477,9.4107,3024
1.6222,3.0608,3.9031,9.3155,3028
1.5963,3.1988,3.8311,9.2642,3032
1.5808,3.338,3.7786,9.2203,3036
1.5766,3.469,3.7353,9.1528,3040
1.5841,3.5832,3.6675,9.1632,3044
1.603,3.673,3.644,9.0918,3048
1.6322,3.733,3.5848,9.064,3052
1.6706,3.7603,3.5344,9.003,3056
1.7162,3.7544,3.4658,9.024,3060
1.7675,3.718,3.409,8.959,3064
1.8222,3.6558,3.369,8.93,3068
1.8786,3.5743,3.2778,8.959,3072
1.9347,3.4814,3.236,8.9184,3076
1.9887,3.3847,3.2137,8.9236,3080
2.0391,3.2915,3.1533,8.9102,3084
2.0844,3.2078,3.1002,8.8809,3088
2.1237,3.1376,3.0678,8.8794,3092
2.1561,3.0826,3.0294,8.9035,3096
2.1814,3.0425,3.0217,8.8702,3100
2.1996,3.0146,3.001,8.8965,3104
2.2115,2.9948,2.9644,8.8476,3108
2.2179,2.9775,2.972,8.8568,3112
2.2203,2.9571,2.9726,8.869,3116
2.2206,2.9282,2.9326,8.8113,3120
2.2205,2.886,2.9543,8.7906,3124
2.2219,2.8277,2.9409,8.8028,3128
2.2266,2.7518,2.9125,8.8101,3132
2.2358,2.6591,2.9378,8.7784,3136
2.2502,2.552,2.9473,8.7539,3140
2.2701,2.4344,2.9162,8.6908,3144
2.2948,2.3116,2.9448,8.6978,3148
2.3231,2.1891,2.9418,8.6868,3152
2.3533,2.0727,2.9253,8.6099,3156
2.3832,1.9675,2.9503,8.5663,3160
2.4109,1.8775,2.9403,8.5345,3164
2.4342,1.8056,2.9384,8.4549,3168
2.4518,1.7532,2.9583,8.3938,3172
2.4629,1.7199,2.9509,8.3178,3176
2.4676,1.7045,2.9848,8.2123,3180
2.4673,1.7043,2.9656,8.1268,3184
2.4638,1.7162,2.9973,8.0752,3188
2.4601,1.7369,3.0135,7.9922,3192
2.4596,1.763,2.9986,7.8833,3196
2.4659,1.7916,3.0352,7.8116,3200
2.4823,1.8208,3.0327,7.6831,3204
2.5118,1.8493,3.0575,7.5775,3208
2.5562,1.8767,3.0712,7.492,3212
2.6163,1.9035,3.0767,7.3806,3216
2.6915,1.9308,3.0678,7.3159,3220
2.78,1.9601,3.0825,7.2335,3224
2.8787,1.9931,3.1203,7.1356,3228
2.9837,2.0317,3.1072,7.0379,3232
3.0909,2.0773,3.1524,6.9351,3236
3.1959,2.1311,3.142,6.7849,3240
3.2949,2.1936,3.1691,6.7236,3244
3.3852,2.2653,3.1984,6.6204,3248
3.465,2.3458,3.203,6.509,3252
3.5343,2.4345,3.2241,6.3763,3256
3.5946,2.5305,3.2494,6.2908,3260
3.6487,2.6328,3.2708,6.1736,3264
3.7004,2.7399,3.3013,6.0439,3268
3.7544,2.8504,3.3672,5.9417,3272
3.8153,2.963,3.3754,5.8715,3276
3.8872,3.0761,3.4405,5.7537,3280
3.9735,3.1879,3.4493,5.6518,3284
4.0759,3.2969,3.5198,5.6078,3288
4.1946,3.4012,3.5479,5.498,3292
4.3276,3.4991,3.622,5.4418,3296
4.4715,3.5889,3.7038,5.0274,3300
4.6212,3.6692,3.7465,5.017,3304
4.7706,3.7387,3.8402,4.9633,3308
4.9128,3.7967,3.9132,4.9917,3312
5.0413,3.843,4.0142,4.9834,3316
5.15,3.8782,4.0673,4.949,3320
5.2342,3.9033,4.121,4.9758,3324
5.2905,3.9201,4.1442,4.9413,3328
5.3176,3.9309,4.2748,4.9487,3332
5.316,3.938,4.7063,4.9749,3336
5.2881,3.944,5.0942,4.9529,3340
5.2373,3.9512,5.501,4.992,3344
5.1686,3.9611,5.9371,4.9609,3348
5.0871,3.9747,6.369,4.9786,3352
4.9978,3.9916,6.7846,5.0149,3356
4.9055,4.0107,6.9824,5.1046,3360
4.8137,4.0294,7.2161,5.1943,3364
4.7249,4.0446,7.3916,5.2343,3368
4.64,4.0524,7.6165,5.2847,3372
4.559,4.0489,7.8457,5.4107,3376
4.4807,4.0302,8.0584,5.4794,3380
4.403,3.9935,8.2852,5.595,3384
4.3237,3.9371,8.4491,5.6707,3388
4.2408,3.8606,8.6221,5.7977,3392
4.1526,3.7658,8.8305,5.9344,3396
4.0582,3.656,8.9615,6.0513,3400
3.9579,3.5363,9.1278,6.1221,3404
3.8527,3.4129,9.2114,6.3177,3408
3.745,3.2932,9.3436,6.3751,3412
3.6375,3.1844,9.4351,6.4981,3416
3.5335,3.0936,9.5132,6.607,3420
3.4364,3.0267,9.5132,6.6894,3424
3.3494,2.9879,9.5727,6.7617,3428
3.2747,2.9793,9.577,6.795,3432
3.214,3.0008,9.6344,6.8643,3436
3.1679,3.0499,9.6063,6.9067,3440
3.1361,3.1219,9.6402,6.9326,3444
3.1172,3.2105,9.6289,7.0034,3448
3.1093,3.3081,9.6378,7.0425,3452
3.1101,3.4069,9.6387,7.0318,3456
3.1173,3.4989,9.6304,7.0904,3460
3.1287,3.5776,9.6316,7.1063,3464
3.1428,3.6376,9.6451,7.1807,3468
3.1585,3.6757,9.6136,7.1972,3472
3.1756,3.6908,9.584,7.2149,3476
3.1945,3.6837,9.5892,7.3001,3480
3.2161,3.6576,9.5889,7.3086,3484
3.2416,3.6166,9.5502,7.3846,3488
3.272,3.5662,9.5068,7.3867,3492
3.3085,3.512,9.5331,7.4722,3496
3.3514,3.459,9.5206,7.4697,3500
3.4004,3.4116,9.4922,7.5308,3504
3.4547,3.3727,9.4598,7.565,3508
3.5127,3.3433,9.422,7.622,3512
3.5721,3.3229,9.4131,7.7069,3516
3.6306,3.3092,9.4122,7.7115,3520
3.6854,3.2988,9.4183,7.8024,3524
3.7344,3.2873,9.3817,7.8613,3528
3.7758,3.27,9.4183,7.868,3532
3.8083,3.2425,9.379,7.9336,3536
3.8317,3.2013,9.3777,7.9678,3540
3.8465,3.1441,9.4159,7.9971,3544
3.8536,3.0701,9.5044,8.0008,3548
3.8548,2.9803,9.5889,8.0472,3552
3.8517,2.8772,9.7046,8.0923,3556
3.8458,2.7648,9.8087,8.0987,3560
3.8381,2.6478,9.9478,8.1265,3564
3.8289,2.5318,10,8.1436,3568
3.8178,2.422,10,8.1268,3572
3.803,2.3232,10,8.1021,3576
3.7824,2.2391,10,8.1366,3580
3.753,2.1723,10,8.1537,3584
3.7116,2.1236,10,8.1512,3588
3.6551,2.0924,10,8.1476,3592
3.581,2.0767,10,8.0996,3596
3.4878,2.0733,10,8.0978,3600
3.3749,2.0784,10,8.0951,3604
3.2434,2.0876,10,8.0826,3608
3.0957,2.0969,10,8.0267,3612
2.9353,2.1027,10,7.9971,3616
2.7669,2.1022,10,7.9776,3620
2.5954,2.094,10,7.9199,3624
2.4259,2.0777,10,7.8262,3628
2.2629,2.0542,10,7.7853,3632
2.11,2.0256,10,7.7459,3636
1.9696,1.9947,10,7.6614,3640
1.8424,1.965,10,7.5872,3644
1.7276,1.9404,9.9506,7.5091,3648
1.6232,1.9245,9.8688,7.4707,3652
1.5262,1.9205,9.7745,7.3529,3656
1.433,1.9311,9.6744,7.305,3660
1.3402,1.9579,9.6112,7.2512,3664
1.2452,2.0019,9.4913,7.1646,3668
1.1464,2.0626,9.3814,7.0996,3672
1.044,2.1388,9.2862,6.9747,3676
0.94032,2.2281,9.1055,6.896,3680
0.8393,2.3277,9.0967,6.8447,3684
0.74674,2.4336,8.7988,6.7742,3688
0.66972,2.5418,8.6426,6.6677,3692
0.61596,2.6476,8.4292,6.5786,3696
0.59314,2.7467,8.2147,6.5112,3700
0.60806,2.8345,8.045,6.416,3704
0.66595,2.9069,7.912,6.3272,3708
0.76981,2.9602,7.6825,6.2817,3712
0.92001,2.9914,7.5079,6.2298,3716
1.1141,2.9983,7.3568,6.1398,3720
1.3467,2.9797,7.1777,6.1138,3724
1.6102,2.9352,6.9967,6.0278,3728
1.895,2.8657,6.8106,6.0043,3732
2.1904,2.7731,6.5997,5.9539,3736
2.4853,2.6602,6.437,5.8953,3740
2.7695,2.531,6.1981,5.873,3744
3.0337,2.3898,6.0421,5.7998,3748
3.2711,2.2414,5.8364,5.7607,3752
3.477,2.0911,5.6347,5.7195,3756
3.6495,1.9435,5.1238,5.6887,3760
3.7893,1.8031,5.0185,5.6216,3764
3.8992,1.6735,4.9075,5.5425,3768
3.9839,1.5572,4.8565,5.4775,3772
4.049,1.4556,4.7967,5.4031,3776
4.1006,1.3688,4.7997,4.9487,3780
4.1442,1.2959,4.7634,4.9068,3784
4.1845,1.2348,4.7308,4.8305,3788
4.2245,1.1826,4.7481,4.7378,3792
4.2655,1.1361,4.7466,4.6767,3796
4.307,1.0919,4.753,4.5992,3800
4.3468,1.047,4.7662,4.4799,3804
4.3815,0.99874,4.7335,4.4228,3808
4.4068,0.9457,4.7646,4.3359,3812
4.4182,0.88739,4.7442,4.2519,3816
4.4115,0.82455,4.7671,4.1518,3820
4.3834,0.75905,4.8003,4.1015,3824
4.3318,0.69378,4.8125,4.0081,3828
4.2563,0.63235,4.8437,3.9037,3832
4.1577,0.57882,4.9651,3.8277,3836
4.0383,0.53732,5.0735,3.7041,3840
3.9018,0.51169,5.2123,3.5839,3844
3.7521,0.50512,5.277,3.5113,3848
3.5937,0.51994,5.3765,3.3834,3852
3.4307,0.55744,5.4443,3.2171,3856
3.2664,0.61775,5.5996,3.051,3860
3.1032,0.69993,5.6719,2.9326,3864
2.9425,0.80207,5.8175,2.8188,3868
2.7841,0.9215,5.9197,2.6836,3872
2.627,1.055,6.0049,2.5624,3876
2.4695,1.1992,6.0815,2.4544,3880
2.3095,1.3507,6.1871,2.3696,3884
2.145,1.5063,6.2515,2.2805,3888
1.9746,1.6632,6.3198,2.1913,3892
1.7978,1.8192,6.3812,2.1672,3896
1.6156,1.9724,6.3833,2.181,3900
1.43,2.1216,6.4056,2.1691,3904
1.2447,2.2659,6.4486,2.1639,3908
1.0645,2.4046,6.4263,2.195,3912
0.89504,2.5372,6.4764,2.1877,3916
0.74248,2.6633,6.4477,2.2289,3920
0.61281,2.7825,6.441,2.2548,3924
0.51143,2.8942,6.4642,2.2588,3928
0.44267,2.9977,6.4126,2.2704,3932
0.40937,3.0926,6.3809,2.2988,3936
0.41263,3.1782,6.3101,2.322,3940
0.45172,3.2542,6.2402,2.3565,3944
0.52408,3.3203,6.0272,2.3662,3948
0.6256,3.3765,5.873,2.4077,3952
0.75092,3.4232,5.7031,2.426,3956
0.89384,3.4606,5.5105,2.4736,3960
1.0479,3.4894,5.3246,2.5466,3964
1.2066,3.5099,5.1601,2.5878,3968
1.3643,3.5225,5.0271,2.6455,3972
1.5162,3.527,4.8653,2.6592,3976
1.6586,3.5229,4.7256,2.7163,3980
1.7891,3.5091,4.602,2.7868,3984
1.9069,3.484,4.4814,2.8652,3988
2.0119,3.4456,4.3426,2.9348,3992
2.1054,3.3916,4.2779,2.9628,3996
2.1892,3.3198,4.1799,3.0678,4000
2.2654,3.228,4.1006,3.1279,4004
2.3363,3.115,4.0459,3.185,4008
2.404,2.9801,3.987,3.243,4012
2.4703,2.8241,3.9028,3.2949,4016
2.5362,2.6488,3.8604,3.3593,4020
2.6023,2.4576,3.8,3.4633,4024
2.6687,2.2548,3.7655,3.5805,4028
2.7349,2.0462,3.7075,3.6593,4032
2.8002,1.838,3.6925,3.6837,4036
2.8635,1.6369,3.6873,3.7639,4040
2.9238,1.4491,3.6596,3.7514,4044
2.9802,1.2806,3.6529,3.8152,4048
3.0319,1.136,3.6196,3.8091,4052
3.0784,1.0186,3.6101,3.8296,4056
3.1195,0.92978,3.6245,3.8259,4060
3.155,0.86944,3.6312,3.7963,4064
3.1851,0.83561,3.6144,3.8198,4068
3.21,0.82488,3.6553,3.8177,4072
3.23,0.83275,3.6672,3.7881,4076
3.2451,0.85406,3.6379,3.7978,4080
3.2554,0.88351,3.6883,3.7807,4084
3.261,0.9162,3.6831,3.7151,4088
3.2615,0.94805,3.6831,3.7179,4092
